State,County,Year,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,MaxAQI,Nintey_Percentile_AQI,MedianAQI,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2point5,Days_PM10
Ohio,Hamilton,1980,366,60,151,116,28,11,0,223,154,93,0,106,94,166,0,0
Ohio,Hamilton,1981,365,66,123,144,32,0,0,200,149,100,2,61,51,251,0,0
Ohio,Hamilton,1982,365,49,136,137,40,3,0,218,156,100,8,65,59,233,0,0
Ohio,Hamilton,1983,365,30,120,161,45,9,0,227,161,107,7,92,77,189,0,0
Ohio,Hamilton,1984,366,45,144,147,29,1,0,202,146,100,4,64,43,255,0,0
Ohio,Hamilton,1985,365,30,125,192,17,1,0,210,139,105,2,34,36,293,0,0
Ohio,Hamilton,1986,365,55,124,163,21,2,0,205,140,101,1,41,61,259,0,3
Ohio,Hamilton,1987,365,65,152,110,33,5,0,236,153,89,1,69,83,211,0,1
Ohio,Hamilton,1988,366,97,148,80,32,9,0,222,161,79,1,86,86,192,0,1
Ohio,Hamilton,1989,365,92,161,89,22,1,0,205,137,75,6,70,72,192,0,25
Ohio,Hamilton,1990,365,93,126,123,21,2,0,209,139,85,1,78,48,230,0,8
Ohio,Hamilton,1991,365,37,79,132,112,5,0,219,195,122,2,19,30,310,0,4
Ohio,Hamilton,1992,366,130,143,82,11,0,0,200,126,64,2,96,49,206,0,13
Ohio,Hamilton,1993,365,118,154,77,16,0,0,197,129,67,2,75,57,220,0,11
Ohio,Hamilton,1994,365,161,125,57,22,0,0,192,123,56,10,108,84,154,0,9
Ohio,Hamilton,1995,365,192,127,30,14,2,0,216,114,49,2,141,129,76,0,17
Ohio,Hamilton,1996,366,142,141,70,13,0,0,187,122,58,0,135,84,132,0,15
Ohio,Hamilton,1997,365,156,129,65,15,0,0,200,125,56,0,149,77,132,0,7
Ohio,Hamilton,1998,365,134,166,56,8,1,0,203,119,62,3,132,104,123,0,3
Ohio,Hamilton,1999,365,62,233,59,10,1,0,209,115,71,0,34,91,58,182,0
Ohio,Hamilton,2000,366,59,239,64,4,0,0,187,113,68,0,22,55,68,221,0
Ohio,Hamilton,2001,365,77,205,74,9,0,0,200,123,70,0,17,87,72,189,0
Ohio,Hamilton,2002,365,66,218,59,20,2,0,213,131,65,0,16,84,76,189,0
Ohio,Hamilton,2003,365,78,232,49,6,0,0,197,109,64,0,29,63,59,214,0
Ohio,Hamilton,2004,366,96,208,60,2,0,0,166,111,65,0,31,63,99,173,0
Ohio,Hamilton,2005,365,154,138,60,12,1,0,208,126,60,0,95,120,76,74,0
Ohio,Hamilton,2006,365,171,150,41,3,0,0,182,104,52,1,82,130,77,73,2
Ohio,Hamilton,2007,365,111,190,56,8,0,0,187,120,61,0,35,142,44,144,0
Ohio,Hamilton,2008,366,175,153,34,4,0,0,169,101,52,0,35,182,27,122,0
Ohio,Hamilton,2009,365,151,206,8,0,0,0,133,79,53,0,10,93,6,255,1
Ohio,Hamilton,2010,365,54,279,29,3,0,0,172,97,68,0,2,94,9,260,0
Ohio,Hamilton,2011,365,141,180,38,6,0,0,179,108,57,1,6,130,54,173,1
Ohio,Hamilton,2012,366,117,215,29,5,0,0,182,100,58,0,0,112,40,214,0
Ohio,Hamilton,2013,365,115,241,9,0,0,0,116,78,56,0,2,84,30,249,0
Ohio,Hamilton,2014,365,115,234,16,0,0,0,143,85,57,0,31,70,33,231,0
Ohio,Hamilton,2015,365,190,169,5,1,0,0,151,77,50,0,46,129,7,183,0
Ohio,Hamilton,2016,366,199,155,12,0,0,0,140,74,49,0,34,147,0,185,0
Ohio,Hamilton,2017,365,190,170,5,0,0,0,129,70,50,0,20,138,0,207,0
Ohio,Hamilton,2018,365,173,184,7,1,0,0,159,74,51,0,23,126,0,216,0
Ohio,Hamilton,2019,365,162,197,6,0,0,0,119,77,52,0,7,152,0,206,0
Ohio,Hamilton,2020,366,210,149,7,0,0,0,126,70,48,0,14,123,2,227,0
Ohio,Hamilton,2021,304,162,137,5,0,0,0,140,77,48,0,9,137,3,155,0
